Date	Fuel	Settlement Type	Total	0:15	0:30	0:45	1:00	1:15	1:30	1:45	2:00	2:15	2:30	2:45	3:00	3:15	3:30	3:45	4:00	4:15	4:30	4:45	5:00	5:15	5:30	5:45	6:00	6:15	6:30	6:45	7:00	7:15	7:30	7:45	8:00	8:15	8:30	8:45	9:00	9:15	9:30	9:45	10:00	10:15	10:30	10:45	11:00	11:15	11:30	11:45	12:00	12:15	12:30	12:45	13:00	13:15	13:30	13:45	14:00	14:15	14:30	14:45	15:00	15:15	15:30	15:45	16:00	16:15	16:30	16:45	17:00	17:15	17:30	17:45	18:00	18:15	18:30	18:45	19:00	19:15	19:30	19:45	20:00	20:15	20:30	20:45	21:00	21:15	21:30	21:45	22:00	22:15	22:30	22:45	23:00	23:15	23:30	23:45	0:00
04/01/2021	Biomass	FINAL	654.9	7.0	7.0	7.0	7.1	7.1	7.1	7.1	7.1	7.1	7.1	7.1	7.1	7.1	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	6.4	6.4	6.3	6.2	6.3	6.8	6.8	6.6	6.4	6.4	6.2	6.3	6.7	6.8	6.9	6.3	6.0	5.9	6.7	6.2	5.8	5.8	5.8	5.9	5.8	6.6	6.7	6.9	6.9	7.0	6.8	6.9	6.9	6.9	6.9	6.9	6.9	6.9	6.8	6.8	6.9	6.8	6.6	6.1	6.1	6.6	6.8	6.8	6.9	6.8	6.9	7.2	7.3	7.3	7.3	7.3	7.3	7.3	7.3	7.3	7.3	7.3	7.3	7.2	7.0	7.0	7.1	7.3	7.4	7.4	7.4	7.4
04/01/2021	Coal	FINAL	154,871.5	1,423.6	1,411.4	1,359.7	1,300.0	1,262.8	1,257.3	1,298.7	1,322.9	1,317.9	1,317.1	1,301.6	1,304.4	1,318.0	1,344.3	1,350.9	1,365.7	1,380.2	1,396.0	1,403.4	1,408.2	1,401.1	1,451.7	1,543.9	1,630.1	1,698.1	1,772.3	1,865.7	1,890.9	1,956.9	1,955.5	1,971.1	1,973.9	1,984.3	1,980.9	1,942.5	1,895.5	1,844.1	1,776.5	1,669.2	1,618.6	1,607.0	1,599.8	1,592.6	1,578.5	1,592.1	1,581.7	1,491.2	1,447.6	1,403.7	1,378.7	1,378.5	1,370.2	1,390.2	1,380.5	1,401.2	1,386.6	1,396.2	1,409.1	1,427.7	1,452.0	1,489.0	1,524.7	1,572.8	1,579.8	1,620.1	1,651.3	1,676.1	1,736.5	1,725.9	1,771.0	1,846.1	1,884.7	1,955.5	2,011.2	1,988.5	2,062.6	2,070.0	2,114.2	2,125.2	2,105.0	2,086.0	2,082.9	2,066.4	1,961.0	1,839.4	1,707.7	1,563.3	1,455.2	1,411.6	1,436.4	1,444.3	1,424.6	1,441.1	1,518.4	1,499.3	1,491.7
04/01/2021	Gas	FINAL	37,477.1	295.4	268.0	262.0	266.5	276.4	283.6	286.7	277.9	270.4	267.6	261.1	256.2	262.4	262.9	262.5	261.7	274.9	291.7	305.7	330.6	374.8	410.7	447.6	468.4	515.7	512.3	542.4	576.4	598.6	670.9	684.2	678.3	648.4	617.9	572.8	513.8	514.2	507.3	520.1	527.3	469.9	432.3	404.1	391.7	398.7	399.6	406.4	402.7	402.9	383.5	376.7	386.9	393.0	389.9	381.9	371.3	361.8	359.8	359.9	361.5	363.3	351.7	353.7	359.6	377.0	389.9	406.6	402.6	383.2	376.9	392.6	363.4	373.1	371.7	348.1	372.1	381.4	417.5	450.7	518.5	541.8	488.3	454.6	439.1	402.7	360.2	348.4	339.7	341.1	310.8	277.1	237.5	226.6	229.6	232.5	232.5
04/01/2021	Gas-CC	FINAL	279,944.3	2,578.5	2,554.3	2,510.1	2,500.1	2,485.7	2,483.1	2,486.4	2,464.5	2,427.4	2,431.2	2,455.2	2,464.3	2,485.1	2,516.5	2,577.3	2,609.4	2,636.3	2,671.0	2,733.1	2,805.6	2,931.6	3,009.9	3,077.0	3,166.2	3,314.4	3,466.3	3,538.1	3,607.7	3,706.9	3,742.4	3,760.6	3,736.8	3,664.5	3,554.9	3,429.2	3,368.6	3,310.2	3,270.9	3,215.1	3,171.3	3,165.8	3,164.0	3,144.3	3,100.5	2,995.8	2,870.9	2,838.8	2,835.7	2,863.6	2,854.8	2,841.2	2,823.8	2,860.4	2,861.4	2,880.1	2,913.7	2,905.7	2,940.1	2,951.1	2,963.1	3,015.2	3,003.8	2,991.8	2,975.9	2,972.2	2,982.0	3,004.5	3,018.7	2,985.0	3,023.9	3,049.8	3,013.6	3,099.6	3,111.1	3,086.7	3,215.5	3,239.0	3,306.3	3,393.9	3,411.9	3,407.6	3,329.3	3,212.4	3,078.1	2,975.2	2,888.7	2,814.9	2,673.2	2,487.9	2,319.4	2,181.9	2,062.9	1,917.2	1,740.5	1,676.2	1,585.9
04/01/2021	Hydro	FINAL	1,205.5	2.8	2.7	2.7	2.7	2.8	2.8	2.8	2.8	2.7	2.7	2.7	2.7	2.7	2.7	2.7	2.6	2.7	2.6	2.6	2.6	2.6	2.6	2.6	7.3	13.8	13.9	13.9	13.9	13.7	13.5	13.5	13.7	13.7	13.6	13.6	13.7	14.2	14.2	14.2	14.3	32.8	33.1	33.1	33.1	41.9	42.0	42.1	40.3	28.6	27.5	27.4	25.8	8.1	8.2	8.1	7.7	3.5	3.5	3.6	3.7	9.6	10.0	9.9	9.9	9.9	10.0	10.0	10.0	10.0	10.0	9.9	14.9	21.1	20.8	21.1	21.0	21.0	21.0	21.0	20.9	20.8	21.0	21.0	21.0	15.6	14.8	14.8	14.2	4.5	3.2	3.2	3.2	2.9	2.8	2.8	2.8
04/01/2021	Nuclear	FINAL	76,317.4	794.3	795.1	795.2	795.3	795.2	795.3	795.3	795.3	795.3	795.2	795.3	795.2	795.4	795.4	795.4	795.3	795.5	795.3	795.4	795.4	795.4	795.5	795.4	795.6	795.9	795.7	795.6	795.7	796.1	795.6	795.2	795.3	795.1	795.2	795.2	795.4	795.6	795.7	793.1	792.1	792.3	792.1	792.3	792.3	792.2	792.3	792.3	792.1	791.8	791.7	791.6	792.8	794.3	795.7	793.3	792.5	794.8	795.2	795.8	795.7	795.7	795.8	795.6	795.9	795.8	795.8	796.1	795.9	795.8	795.6	795.4	795.5	795.5	795.0	795.5	795.2	795.5	795.5	795.5	795.4	795.3	795.5	795.4	795.5	795.6	795.8	795.7	795.7	796.4	796.0	795.9	795.9	796.1	796.0	796.0	796.1
04/01/2021	Other	FINAL	31.8	1.1	0.5	1.9	0.0	0.9	0.9	-1.1	0.3	-0.5	-2.2	1.1	-1.8	-1.5	-0.1	-0.8	-0.3	0.6	0.5	0.8	0.8	0.8	1.0	-0.1	0.0	0.2	0.1	0.5	0.5	0.3	0.0	0.8	0.6	0.3	0.2	0.9	0.9	-2.4	1.5	1.4	2.5	0.4	-2.4	-2.4	-2.3	-1.4	-4.8	1.0	-1.7	1.7	0.3	-0.1	2.3	-0.7	0.1	-1.4	-0.4	-0.3	-0.4	1.0	1.3	-1.6	-3.3	-4.0	-0.3	1.1	1.3	0.1	-0.4	1.7	4.3	1.8	-1.0	10.3	-0.1	6.1	5.0	1.8	-4.3	-5.1	2.6	-1.4	1.3	0.1	1.5	0.7	1.5	1.5	1.1	3.9	1.7	1.4	1.1	0.8	-1.2	0.9	0.3
04/01/2021	Solar	FINAL	53,297.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	10.1	58.0	202.8	408.1	649.9	908.3	1,149.3	1,299.2	1,330.5	1,312.9	1,292.7	1,311.2	1,321.6	1,322.5	1,320.3	1,336.8	1,325.6	1,335.6	1,338.1	1,343.9	1,358.2	1,366.9	1,355.5	1,354.4	1,354.6	1,354.4	1,354.6	1,355.3	1,354.8	1,355.2	1,330.3	1,337.1	1,335.5	1,332.0	1,323.2	1,318.4	1,306.6	1,269.3	1,270.5	1,247.4	1,128.5	1,134.1	903.0	848.7	759.3	557.2	408.2	223.8	96.1	24.3	2.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
04/01/2021	Wind	FINAL	262,787.2	3,132.1	3,112.7	3,124.9	3,145.6	3,133.2	3,078.6	2,983.1	2,960.7	2,966.5	2,957.5	2,946.6	2,924.2	2,876.5	2,834.2	2,785.2	2,769.7	2,764.6	2,743.8	2,725.5	2,691.7	2,689.3	2,677.0	2,660.2	2,618.8	2,642.3	2,652.0	2,664.0	2,708.6	2,705.8	2,655.8	2,609.0	2,596.2	2,569.9	2,506.1	2,435.3	2,293.1	2,156.1	2,108.9	2,190.1	2,247.8	2,298.0	2,305.2	2,323.6	2,356.9	2,435.2	2,523.0	2,601.6	2,609.4	2,593.0	2,617.6	2,610.1	2,601.9	2,564.3	2,555.1	2,509.3	2,471.8	2,452.8	2,395.7	2,355.9	2,303.5	2,246.6	2,245.6	2,212.4	2,239.7	2,216.1	2,187.7	2,163.2	2,158.6	2,188.0	2,170.9	2,162.7	2,188.7	2,198.2	2,189.9	2,301.2	2,245.4	2,301.7	2,344.0	2,392.0	2,500.5	2,605.9	2,783.4	2,940.8	3,163.3	3,369.1	3,589.7	3,743.8	3,883.1	4,015.2	4,114.4	4,174.7	4,197.1	4,226.3	4,218.2	4,189.8	4,192.5
04/02/2021	Biomass	FINAL	731.3	7.4	7.4	7.4	7.4	7.4	7.4	7.4	7.4	7.4	7.4	7.4	7.4	7.4	7.4	7.4	7.4	7.4	7.4	7.4	7.4	7.4	7.4	7.4	7.3	7.3	7.3	7.4	7.3	7.3	7.3	7.3	7.3	7.3	7.3	7.3	7.5	7.7	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.5	7.4	7.4	7.5	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.4	7.4	7.6	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.8
