Date	Fuel	Settlement Type	Total	0:15	0:30	0:45	1:00	1:15	1:30	1:45	2:00	2:15	2:30	2:45	3:00	3:15	3:30	3:45	4:00	4:15	4:30	4:45	5:00	5:15	5:30	5:45	6:00	6:15	6:30	6:45	7:00	7:15	7:30	7:45	8:00	8:15	8:30	8:45	9:00	9:15	9:30	9:45	10:00	10:15	10:30	10:45	11:00	11:15	11:30	11:45	12:00	12:15	12:30	12:45	13:00	13:15	13:30	13:45	14:00	14:15	14:30	14:45	15:00	15:15	15:30	15:45	16:00	16:15	16:30	16:45	17:00	17:15	17:30	17:45	18:00	18:15	18:30	18:45	19:00	19:15	19:30	19:45	20:00	20:15	20:30	20:45	21:00	21:15	21:30	21:45	22:00	22:15	22:30	22:45	23:00	23:15	23:30	23:45	0:00	01:15 (DST)	01:30 (DST)	01:45 (DST)	02:00 (DST)
11/02/2020	Coal	FINAL	183,103.5	1,283.7	1,248.8	1,209.2	1,165.4	1,162.3	1,155.0	1,145.7	1,101.8	1,027.5	1,019.7	1,025.0	1,026.4	1,020.1	1,017.7	1,040.9	1,088.2	1,149.2	1,180.0	1,215.9	1,275.7	1,400.6	1,525.3	1,618.1	1,719.6	1,807.1	1,888.2	1,966.3	2,018.4	2,080.0	2,116.1	2,139.8	2,136.8	2,150.2	2,180.1	2,238.2	2,281.4	2,294.1	2,296.9	2,256.5	2,220.2	2,240.3	2,251.9	2,259.0	2,283.5	2,293.4	2,303.9	2,325.9	2,341.4	2,352.6	2,357.7	2,357.9	2,351.1	2,359.9	2,365.0	2,382.8	2,386.5	2,387.7	2,385.1	2,373.6	2,374.2	2,361.4	2,351.4	2,343.9	2,347.4	2,355.9	2,360.5	2,364.2	2,361.0	2,327.1	2,317.6	2,310.2	2,314.8	2,322.6	2,335.8	2,336.2	2,341.3	2,336.4	2,316.6	2,270.1	2,194.9	2,118.4	2,061.0	1,965.5	1,859.6	1,753.8	1,717.5	1,724.7	1,664.4	1,552.3	1,495.4	1,538.4	1,574.6	1,577.3	1,516.7	1,428.4	1,360.8				
11/02/2020	Gas	FINAL	55,123.3	390.4	386.7	383.0	375.6	346.4	326.6	311.9	319.9	315.2	319.6	315.8	318.8	316.0	320.7	323.3	326.4	362.6	409.2	435.3	467.0	476.0	484.2	527.6	550.6	599.7	614.2	632.3	631.5	647.9	633.7	624.1	612.5	600.4	601.2	631.1	629.3	617.7	610.0	600.4	622.7	605.3	595.8	602.1	605.6	620.2	634.8	646.7	643.6	655.8	661.9	673.2	661.4	679.5	681.2	689.8	672.1	655.7	661.6	647.8	670.7	674.4	681.7	676.6	678.4	748.3	794.6	847.3	965.4	1,051.0	1,139.2	1,221.3	1,242.6	1,163.4	1,030.5	910.9	863.5	793.6	725.4	684.5	655.2	623.1	579.7	560.6	555.3	489.4	418.2	384.0	376.1	345.1	263.0	200.7	191.7	176.7	153.9	138.2	137.6				
11/02/2020	Gas-CC	FINAL	298,091.7	2,761.8	2,683.6	2,613.5	2,590.9	2,562.0	2,512.6	2,461.9	2,461.1	2,454.4	2,475.4	2,456.8	2,463.9	2,445.5	2,456.4	2,461.5	2,470.1	2,545.5	2,574.9	2,616.0	2,663.6	2,724.4	2,732.2	2,752.0	2,780.3	2,935.1	3,014.8	3,081.3	3,112.3	3,190.7	3,207.5	3,209.0	3,204.1	3,208.0	3,245.0	3,318.0	3,385.9	3,414.4	3,408.4	3,347.1	3,328.7	3,327.8	3,316.6	3,320.3	3,338.7	3,361.0	3,400.0	3,478.9	3,540.9	3,602.1	3,680.6	3,760.8	3,786.6	3,777.3	3,763.5	3,785.8	3,791.6	3,767.5	3,776.5	3,763.3	3,746.5	3,734.2	3,752.9	3,738.1	3,727.4	3,773.2	3,836.1	3,909.0	3,975.9	3,972.3	4,011.4	4,001.8	4,012.5	3,999.2	3,920.6	3,812.1	3,669.0	3,493.1	3,366.5	3,198.7	3,055.4	2,955.1	2,894.9	2,845.7	2,786.5	2,668.7	2,565.6	2,487.6	2,359.6	2,238.5	2,185.5	2,129.2	2,037.0	1,914.8	1,871.5	1,898.5	1,876.8				
11/02/2020	Hydro	FINAL	376.1	1.5	1.4	1.4	1.4	1.5	1.6	1.7	1.8	1.8	1.8	1.8	1.8	1.9	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.9	1.9	2.1	2.2	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.9	1.9	1.9	1.9	2.0	2.0	2.0	9.9	10.0	10.0	10.0	11.9	11.9	12.0	11.2	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.8	1.8	1.8	1.8	7.3	7.7	7.6	7.6	7.4	7.4	7.4	7.4	7.4	7.4	7.4	7.5	7.4	7.5	7.5	7.4	7.5	7.5	7.6	7.5	7.5	7.5	7.5	7.5	1.6	1.1	1.1	1.1	1.1	1.2	1.1	1.1	1.1	1.1	1.1	1.1				
11/02/2020	Nuclear	FINAL	91,632.4	954.4	954.7	954.9	954.6	954.7	954.9	954.9	954.8	954.9	954.6	954.9	955.1	954.6	954.7	954.7	954.3	954.8	954.9	954.7	954.7	954.8	954.0	954.4	954.4	954.2	954.8	954.5	954.8	954.4	954.1	954.4	954.9	955.2	954.9	955.0	954.8	954.4	954.8	955.3	954.7	954.1	954.4	954.5	954.2	954.0	954.5	954.5	954.2	954.2	954.1	954.2	954.2	954.1	954.2	954.1	953.8	953.6	953.6	953.8	953.8	953.6	953.7	953.6	953.7	953.6	953.7	953.9	954.0	954.1	954.1	954.1	954.5	954.5	954.4	954.2	954.1	954.5	954.6	954.2	954.2	954.4	954.0	954.2	954.5	954.5	954.5	954.8	955.4	955.5	955.9	955.7	955.7	955.6	955.7	955.8	955.6				
11/02/2020	Other	FINAL	45.4	1.1	0.7	1.0	0.2	1.8	-0.4	-0.7	0.7	0.8	-0.1	0.3	-0.2	0.2	-0.2	0.6	0.2	0.5	0.5	0.7	0.1	1.1	0.1	0.5	0.6	0.4	0.6	0.6	1.2	-0.4	-0.2	0.7	0.9	0.1	-0.9	-0.3	-1.5	-0.1	0.1	-0.1	0.7	-0.1	0.8	-0.1	-0.2	0.3	-0.5	1.2	0.4	0.6	-0.1	0.7	1.4	0.2	0.3	0.5	-0.1	1.2	0.1	1.1	0.6	-0.3	0.4	0.7	1.4	-0.4	2.4	1.5	2.2	3.9	0.0	2.0	3.0	0.4	0.5	0.6	0.3	0.6	0.5	0.9	0.2	0.5	0.5	0.6	1.1	0.8	0.0	1.6	0.0	-0.3	2.2	0.1	0.2	-1.7	-0.6	0.8	-1.2				
11/02/2020	Solar	FINAL	29,456.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	9.8	50.9	154.7	306.3	471.0	628.0	739.6	803.5	822.6	805.0	788.5	782.4	800.4	824.2	852.3	868.1	865.3	862.2	858.2	856.0	850.0	844.6	851.9	858.6	855.9	859.0	840.8	859.7	865.6	875.2	874.2	877.0	860.8	849.3	845.8	821.4	750.5	654.4	517.0	360.8	214.9	87.2	27.5	4.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0				
11/02/2020	Wind	FINAL	214,210.1	2,310.6	2,376.0	2,445.1	2,488.8	2,550.6	2,581.6	2,646.8	2,682.6	2,774.8	2,824.4	2,864.5	2,865.6	2,867.1	2,897.0	2,905.5	2,887.8	2,841.2	2,818.8	2,814.9	2,786.3	2,806.9	2,833.5	2,826.9	2,869.2	2,874.0	2,901.2	2,946.9	2,979.3	2,933.6	2,922.8	2,816.7	2,689.4	2,527.6	2,289.5	1,991.9	1,780.9	1,725.2	1,734.9	1,805.5	1,824.5	1,781.2	1,740.4	1,688.3	1,580.4	1,518.6	1,439.9	1,339.2	1,242.1	1,146.2	1,053.2	991.1	947.8	944.3	936.4	943.1	945.3	956.1	973.4	998.5	1,017.5	1,052.8	1,093.4	1,116.8	1,138.2	1,139.8	1,130.4	1,120.7	1,106.3	1,070.4	1,106.6	1,176.0	1,300.1	1,481.4	1,684.4	1,860.7	2,007.1	2,176.1	2,326.9	2,522.9	2,736.0	2,882.3	2,981.1	3,079.6	3,191.3	3,390.1	3,505.6	3,506.2	3,604.8	3,676.8	3,702.6	3,641.9	3,609.5	3,635.7	3,655.2	3,642.4	3,664.9				
11/03/2020	Biomass	FINAL	829.4	8.8	8.8	8.8	8.8	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.6	8.7	8.5	8.5	8.7	8.7	8.6	9.0	8.7	8.9	8.7	8.7	8.6	8.3	7.5	7.2	7.1	7.2	7.6	8.0	7.8	7.9	8.0	8.0	8.1	8.1	8.1	7.9	7.8	8.1	8.6	8.5	8.5	8.9	9.0	9.3	9.0	9.0	9.0	9.0	8.5	7.9	7.8	7.9	7.9	8.2	9.1	9.2	9.2	9.2	9.2	9.4	9.5	9.4	9.4	9.3	9.3	9.3	9.3	9.2	9.0	9.0	9.0	9.2	9.3	9.4	9.3	9.3	9.3	9.3	9.3	9.3	9.3				
11/03/2020	Coal	FINAL	171,954.8	1,290.3	1,249.1	1,228.3	1,224.9	1,210.8	1,178.2	1,174.1	1,163.7	1,159.2	1,148.9	1,147.3	1,142.2	1,164.6	1,200.3	1,226.3	1,213.8	1,288.5	1,358.7	1,376.8	1,376.9	1,442.6	1,522.7	1,635.2	1,744.0	1,876.9	2,062.6	2,142.6	2,179.2	2,207.5	2,216.1	2,202.9	2,205.6	2,228.1	2,221.3	2,222.9	2,203.9	2,157.3	2,094.4	2,063.1	2,033.7	2,044.5	2,066.8	2,082.0	2,075.7	2,058.7	2,078.1	2,064.5	2,054.1	2,023.2	2,008.2	2,036.8	2,050.7	2,047.6	2,042.9	2,023.4	2,029.1	2,046.1	2,056.6	2,014.4	2,024.2	2,036.5	2,052.0	2,022.1	2,014.3	2,012.2	2,091.2	2,156.3	2,241.4	2,291.1	2,333.2	2,321.9	2,333.8	2,265.2	2,090.8	2,017.9	1,950.8	1,937.9	1,939.4	1,894.1	1,868.4	1,834.2	1,808.8	1,857.2	1,780.8	1,649.2	1,522.8	1,446.3	1,375.3	1,440.4	1,481.9	1,424.7	1,369.8	1,303.0	1,261.6	1,226.6	1,188.0				
