Date	Fuel	Settlement Type	Total	0:15	0:30	0:45	1:00	1:15	1:30	1:45	2:00	2:15	2:30	2:45	3:00	3:15	3:30	3:45	4:00	4:15	4:30	4:45	5:00	5:15	5:30	5:45	6:00	6:15	6:30	6:45	7:00	7:15	7:30	7:45	8:00	8:15	8:30	8:45	9:00	9:15	9:30	9:45	10:00	10:15	10:30	10:45	11:00	11:15	11:30	11:45	12:00	12:15	12:30	12:45	13:00	13:15	13:30	13:45	14:00	14:15	14:30	14:45	15:00	15:15	15:30	15:45	16:00	16:15	16:30	16:45	17:00	17:15	17:30	17:45	18:00	18:15	18:30	18:45	19:00	19:15	19:30	19:45	20:00	20:15	20:30	20:45	21:00	21:15	21:30	21:45	22:00	22:15	22:30	22:45	23:00	23:15	23:30	23:45	0:00
06/01/2019	Biomass	FINAL	988.6	10.5	10.5	10.4	10.3	10.3	10.3	10.3	10.3	10.3	10.3	10.3	10.3	10.3	10.3	10.3	10.3	10.3	10.3	10.1	9.9	9.9	9.9	9.9	9.9	9.9	9.9	9.9	9.9	9.9	10.0	10.2	10.1	10.0	10.0	10.1	10.1	10.0	10.0	10.0	10.0	10.1	10.2	10.2	10.2	10.2	10.3	10.2	10.2	10.2	10.2	10.2	10.1	10.2	10.2	10.1	9.8	9.8	9.8	9.9	10.1	10.1	10.4	10.5	10.5	10.5	10.5	10.5	10.5	10.5	10.5	10.5	10.5	10.5	10.5	10.5	10.5	10.5	10.5	10.6	10.6	10.6	10.6	10.6	10.7	10.7	10.7	10.7	10.7	10.7	10.7	10.7	10.7	10.7	10.7	10.7	10.7
06/01/2019	Coal	FINAL	233,204.2	1,999.7	1,918.7	1,850.2	1,778.1	1,703.2	1,639.2	1,605.0	1,585.7	1,568.9	1,555.7	1,555.8	1,543.2	1,535.7	1,537.0	1,513.3	1,460.1	1,427.9	1,438.8	1,450.6	1,473.8	1,498.5	1,535.7	1,580.0	1,611.0	1,641.9	1,670.9	1,677.3	1,699.7	1,729.2	1,805.2	1,911.6	2,015.2	2,113.2	2,248.9	2,361.1	2,432.0	2,493.7	2,580.3	2,607.5	2,668.8	2,753.6	2,848.9	2,909.4	2,946.6	2,970.2	2,991.5	3,009.2	3,026.1	3,044.3	3,046.6	3,045.7	3,074.2	3,067.2	3,079.5	3,080.8	3,089.5	3,097.9	3,110.0	3,164.7	3,193.8	3,213.7	3,215.3	3,214.4	3,218.0	3,214.9	3,215.8	3,215.9	3,192.3	3,190.1	3,186.2	3,183.4	3,161.2	3,116.5	3,023.8	2,979.9	2,927.8	2,906.8	2,880.7	2,809.9	2,752.4	2,709.9	2,767.9	2,726.8	2,688.4	2,682.2	2,663.8	2,597.6	2,556.2	2,455.5	2,389.7	2,310.8	2,225.1	2,112.0	2,036.9	1,969.7	1,921.1
06/01/2019	Gas	FINAL	97,778.4	538.5	444.5	378.9	374.5	363.9	343.3	327.7	328.8	323.0	329.2	326.5	324.3	323.0	322.1	319.6	318.1	326.2	324.1	324.6	323.7	326.7	325.9	332.0	326.8	333.9	335.5	337.9	334.2	343.4	338.7	342.4	364.7	414.3	438.3	502.9	585.9	637.5	645.3	665.8	705.0	757.3	853.7	929.1	1,000.3	1,064.9	1,206.7	1,357.6	1,477.6	1,523.8	1,630.2	1,787.6	1,967.8	2,090.3	2,215.9	2,361.5	2,490.0	2,536.6	2,563.7	2,510.0	2,427.6	2,364.8	2,287.9	2,240.9	2,177.3	2,156.4	2,095.4	2,010.0	1,952.9	1,923.0	1,779.7	1,647.2	1,572.1	1,524.6	1,463.6	1,354.2	1,286.5	1,238.8	1,167.8	1,113.9	1,084.1	1,019.3	967.4	890.0	915.3	923.3	872.0	888.7	858.0	887.4	883.1	808.0	767.8	661.7	560.2	532.3	529.0
06/01/2019	Gas-CC	FINAL	468,117.5	4,146.2	4,075.5	4,029.0	3,985.5	3,929.8	3,935.9	3,905.6	3,932.7	3,883.9	3,893.8	3,843.4	3,837.2	3,826.4	3,823.4	3,783.0	3,717.8	3,719.0	3,728.1	3,728.2	3,744.5	3,775.0	3,800.7	3,852.2	3,840.3	3,887.3	3,882.6	3,890.4	3,898.7	4,010.5	4,130.2	4,235.7	4,342.3	4,452.2	4,553.1	4,573.9	4,604.0	4,739.8	4,863.3	4,952.6	5,095.8	5,176.2	5,271.3	5,348.9	5,473.5	5,613.1	5,694.7	5,803.0	5,828.2	5,839.9	5,913.7	5,915.0	5,913.1	5,921.6	5,911.5	5,903.2	5,915.8	5,952.2	5,944.7	5,948.9	5,939.2	5,952.0	5,962.0	5,937.0	5,922.2	5,900.5	5,887.3	5,852.0	5,837.5	5,776.5	5,745.9	5,720.1	5,741.1	5,711.6	5,684.2	5,667.9	5,655.6	5,609.8	5,575.8	5,483.4	5,418.8	5,440.5	5,366.7	5,220.6	5,061.8	5,025.6	4,853.5	4,784.8	4,672.6	4,450.7	4,450.5	4,447.1	4,404.0	4,316.3	4,305.9	4,161.7	4,037.2
06/01/2019	Hydro	FINAL	4,215.1	27.7	27.7	27.7	27.7	27.7	27.7	27.7	28.0	28.0	28.0	27.9	27.9	28.0	27.9	27.9	27.8	28.0	28.0	28.0	27.9	28.0	28.0	28.0	27.9	36.3	36.4	36.4	36.4	55.9	56.2	56.2	56.8	62.8	63.0	62.9	63.1	61.8	61.7	61.7	61.8	61.5	61.2	61.4	60.5	52.8	52.9	52.7	52.9	52.7	52.9	52.3	52.2	60.8	60.6	60.3	60.7	66.6	66.7	67.1	67.0	66.5	66.8	66.5	66.7	66.5	66.3	66.5	65.7	59.3	59.6	59.1	58.0	46.2	46.2	46.2	45.1	28.9	27.2	27.4	27.4	27.5	27.5	27.3	27.5	27.5	27.4	27.6	27.4	27.5	27.5	27.5	27.4	27.5	27.4	27.3	27.1
06/01/2019	Nuclear	FINAL	120,330.3	1,255.4	1,255.3	1,255.2	1,254.5	1,254.2	1,253.9	1,254.2	1,253.9	1,253.9	1,254.4	1,254.1	1,253.6	1,254.0	1,253.6	1,254.6	1,253.4	1,253.9	1,253.7	1,253.9	1,256.4	1,256.6	1,256.6	1,256.6	1,256.6	1,256.6	1,256.7	1,257.0	1,256.8	1,256.9	1,256.8	1,256.8	1,257.1	1,257.0	1,256.9	1,256.6	1,256.7	1,257.0	1,256.8	1,256.8	1,256.7	1,256.8	1,256.6	1,256.7	1,256.7	1,256.9	1,256.3	1,256.4	1,256.6	1,255.7	1,255.9	1,255.5	1,255.8	1,255.9	1,255.2	1,255.3	1,254.4	1,253.9	1,253.5	1,252.6	1,251.3	1,250.3	1,249.9	1,250.3	1,251.3	1,250.9	1,250.9	1,250.9	1,250.9	1,250.2	1,250.5	1,250.1	1,250.3	1,250.0	1,249.8	1,249.7	1,249.5	1,249.9	1,249.3	1,247.8	1,248.4	1,249.3	1,248.3	1,250.1	1,250.3	1,250.1	1,250.0	1,250.0	1,249.8	1,249.7	1,249.9	1,250.1	1,250.0	1,250.3	1,250.2	1,250.4	1,250.7
06/01/2019	Other	FINAL	82.4	1.5	0.4	0.3	0.4	0.7	0.4	1.1	-0.4	1.1	-0.1	0.6	0.2	0.4	0.1	0.7	0.6	0.9	-0.3	0.7	0.2	0.4	1.4	-0.2	0.3	1.6	0.5	0.8	1.2	-0.1	0.5	0.4	0.5	1.6	0.4	0.0	1.6	-0.2	-0.1	1.3	0.0	0.4	0.7	1.3	-0.8	0.7	0.8	0.4	1.0	0.6	0.3	1.9	1.7	3.7	2.2	18.6	3.2	2.0	1.9	1.8	2.0	-1.7	2.3	-1.2	0.7	0.6	-0.4	3.3	-0.1	0.4	1.1	0.2	3.0	-1.7	0.5	0.7	-0.6	0.9	-0.1	0.6	0.9	2.6	-1.9	0.0	1.1	0.0	0.9	0.2	0.2	1.0	-0.5	2.2	-0.7	0.7	0.3	1.3	-0.1
06/01/2019	Solar	FINAL	14,851.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.5	2.1	7.1	22.3	61.9	114.6	159.5	216.1	261.3	292.6	288.9	266.6	272.8	288.5	310.2	281.3	293.8	321.2	349.1	352.8	346.0	382.8	407.8	415.6	418.5	409.8	414.2	413.2	408.3	399.7	406.2	408.8	402.4	406.3	399.5	399.9	397.2	392.2	374.7	366.8	372.0	362.8	345.5	330.7	326.2	271.0	198.6	110.1	87.0	73.5	69.5	53.3	56.7	26.8	16.6	12.4	4.4	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
06/01/2019	Wind	FINAL	175,567.1	2,304.0	2,362.1	2,355.5	2,330.6	2,317.1	2,294.8	2,240.9	2,137.1	2,032.4	1,961.6	1,914.1	1,840.3	1,805.2	1,747.3	1,766.8	1,828.9	1,858.4	1,816.6	1,778.7	1,721.1	1,669.5	1,643.1	1,582.0	1,548.9	1,535.4	1,506.0	1,467.2	1,440.3	1,375.9	1,287.9	1,173.3	1,050.3	928.6	843.8	830.7	854.2	924.5	986.8	1,063.3	1,085.5	1,081.9	1,084.4	1,070.8	1,069.9	1,032.1	1,008.3	971.2	955.8	967.8	964.2	965.1	966.0	969.5	970.7	956.6	969.3	989.9	1,041.4	1,131.9	1,285.5	1,405.9	1,560.8	1,679.9	1,787.4	1,874.8	1,993.8	2,093.2	2,164.9	2,217.9	2,368.0	2,428.9	2,439.1	2,509.8	2,605.1	2,622.4	2,583.7	2,561.6	2,532.9	2,574.2	2,567.4	2,485.3	2,526.4	2,718.2	2,809.7	2,779.8	2,855.7	2,851.0	2,865.0	2,978.0	2,893.1	2,881.1	2,867.7	2,946.7	2,939.9	2,974.1	2,960.8
06/02/2019	Biomass	FINAL	969.6	10.7	10.7	10.7	10.7	10.8	10.8	10.8	10.8	10.8	10.8	10.8	10.8	10.8	10.8	10.8	10.8	10.8	10.8	10.8	10.7	10.8	10.7	10.5	10.5	10.5	10.5	10.5	10.5	10.5	10.5	10.5	10.5	10.5	10.5	10.5	10.5	10.5	10.4	10.4	10.4	10.4	10.4	10.3	10.1	10.0	10.0	10.0	10.1	10.1	10.2	10.3	10.5	10.6	10.5	10.6	10.5	10.3	10.3	8.9	8.5	7.6	7.6	7.6	7.6	7.9	8.3	8.6	8.8	8.8	9.3	9.9	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	9.7	9.3	9.3	9.0	9.3	9.8	9.8	9.9	10.4	10.5	10.5	10.5	10.5	10.5	10.5
