Date	Fuel	Settlement Type	Total	0:15	0:30	0:45	1:00	1:15	1:30	1:45	2:00	2:15	2:30	2:45	3:00	3:15	3:30	3:45	4:00	4:15	4:30	4:45	5:00	5:15	5:30	5:45	6:00	6:15	6:30	6:45	7:00	7:15	7:30	7:45	8:00	8:15	8:30	8:45	9:00	9:15	9:30	9:45	10:00	10:15	10:30	10:45	11:00	11:15	11:30	11:45	12:00	12:15	12:30	12:45	13:00	13:15	13:30	13:45	14:00	14:15	14:30	14:45	15:00	15:15	15:30	15:45	16:00	16:15	16:30	16:45	17:00	17:15	17:30	17:45	18:00	18:15	18:30	18:45	19:00	19:15	19:30	19:45	20:00	20:15	20:30	20:45	21:00	21:15	21:30	21:45	22:00	22:15	22:30	22:45	23:00	23:15	23:30	23:45	0:00
03/01/2021	Biomass	FINAL	719.7	7.8	7.5	7.5	7.7	7.7	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.8	7.7	7.7	7.7	7.7	7.7	7.7	7.7	7.7	7.5	7.2	7.2	7.2	7.2	7.2	7.2	7.2	7.3	7.4	7.2	7.4	7.3	6.9	6.9	6.9	6.9	6.9	7.1	7.3	7.3	7.4	7.4	7.4	7.3	7.3	7.2	7.5	7.5	7.5	7.8	7.9	7.5	7.2	7.4	6.9	6.5	6.5	6.5	6.9	7.0	7.9	7.9	7.9	7.9	7.9	7.8	7.8	7.8	7.8	7.8	7.9	7.9	7.9	7.9	7.8	7.5	7.5	7.5	7.5	7.5	7.5	7.5	7.5	7.5	7.5	7.6	7.8	7.9	7.9	7.9	7.8	7.7
03/01/2021	Coal	FINAL	158,778.8	1,178.5	1,168.1	1,185.9	1,172.8	1,150.4	1,140.3	1,131.0	1,127.6	1,128.9	1,146.7	1,123.1	1,134.8	1,153.4	1,143.5	1,154.5	1,162.4	1,145.4	1,184.6	1,172.3	1,197.4	1,258.0	1,300.1	1,349.8	1,404.5	1,461.5	1,537.6	1,648.6	1,778.5	1,855.0	1,952.8	1,999.0	1,951.2	2,011.1	2,059.5	2,054.1	2,005.3	2,016.3	2,074.0	2,121.4	2,135.0	2,151.3	2,138.8	2,082.4	1,946.8	1,824.2	1,780.4	1,728.4	1,695.2	1,659.4	1,642.7	1,564.4	1,493.5	1,468.5	1,480.0	1,484.9	1,451.8	1,418.7	1,398.7	1,378.2	1,375.7	1,368.4	1,372.9	1,365.7	1,367.3	1,360.5	1,366.9	1,385.7	1,403.5	1,442.3	1,508.8	1,595.4	1,682.4	1,757.6	1,867.4	2,003.2	2,087.0	2,111.4	2,110.5	2,109.2	2,117.5	2,130.7	2,137.9	2,143.0	2,136.6	2,149.3	2,168.0	2,167.3	2,160.9	2,137.8	2,129.1	2,092.5	2,016.0	1,968.3	1,933.0	1,876.7	1,809.6
03/01/2021	Gas	FINAL	51,998.4	536.0	456.2	434.4	432.9	428.2	431.8	426.6	426.9	425.7	428.3	424.5	425.7	429.2	424.4	421.8	436.2	436.1	439.7	442.0	460.7	467.0	467.3	480.8	471.8	498.1	504.2	501.9	499.1	481.1	472.6	466.4	471.8	494.0	535.3	535.4	538.0	530.6	536.2	561.1	569.4	598.9	640.4	671.1	702.5	676.5	635.2	613.6	576.1	518.6	489.1	495.2	486.5	486.9	493.0	496.9	492.9	491.8	504.5	498.5	496.5	491.1	492.8	496.0	503.5	508.4	516.5	528.8	536.4	559.6	567.6	586.3	580.0	589.9	595.5	622.1	667.3	750.4	772.5	780.3	803.1	807.2	802.1	813.4	776.0	703.5	666.3	645.2	615.2	593.9	560.8	535.0	524.4	523.5	524.1	522.4	522.9
03/01/2021	Gas-CC	FINAL	290,030.1	1,535.6	1,471.9	1,435.2	1,438.9	1,424.8	1,441.3	1,428.9	1,459.8	1,460.2	1,470.9	1,460.8	1,483.8	1,502.3	1,483.0	1,500.4	1,575.8	1,562.3	1,601.1	1,655.6	1,730.7	1,833.2	1,991.3	2,155.4	2,418.7	2,708.3	2,845.8	2,969.3	3,087.2	3,170.2	3,234.3	3,258.7	3,271.7	3,345.4	3,399.2	3,362.4	3,379.1	3,456.8	3,481.3	3,537.3	3,552.0	3,580.9	3,598.7	3,618.3	3,550.5	3,542.4	3,571.5	3,559.4	3,518.1	3,562.9	3,487.7	3,431.6	3,407.0	3,323.7	3,321.7	3,279.0	3,208.5	3,167.7	3,153.5	3,116.8	3,039.1	2,972.2	2,951.1	2,971.1	3,004.4	3,016.3	3,066.5	3,124.1	3,106.7	3,125.4	3,227.0	3,377.3	3,574.8	3,693.1	3,847.1	3,981.5	4,054.4	4,061.4	4,087.1	4,152.3	4,168.1	4,195.8	4,169.6	4,169.7	4,162.9	4,131.2	4,076.7	4,021.7	4,008.7	3,944.6	3,876.7	3,790.8	3,671.1	3,525.9	3,414.7	3,365.8	3,322.4
03/01/2021	Hydro	FINAL	639.4	14.1	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.3	14.2	14.2	14.2	14.1	14.2	14.3	14.1	14.2	14.1	14.2	14.1	14.2	4.8	3.1	3.1	3.1	3.1	2.7	2.8	2.7	2.8	2.7	3.0	3.1	3.2	3.1	3.2	10.1	10.2	10.2	10.2	8.1	8.3	8.0	8.0	2.8	2.6	2.5	2.5	11.1	11.0	11.0	11.0	4.7	4.7	4.6	4.6	2.5	2.5	2.5	2.5	2.4	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.3	2.6	2.7	2.7	2.7	2.7	2.7	2.7	2.7	2.7	2.7	2.7	2.7	2.9	2.9	3.1	3.1	3.1	3.1	3.3	3.2
03/01/2021	Nuclear	FINAL	122,053.2	1,272.1	1,271.7	1,271.5	1,271.5	1,271.6	1,271.8	1,271.5	1,271.5	1,271.3	1,271.3	1,271.2	1,271.3	1,271.7	1,271.5	1,271.4	1,271.7	1,270.9	1,271.3	1,271.6	1,271.0	1,271.3	1,270.3	1,270.9	1,270.4	1,270.5	1,270.8	1,271.1	1,270.9	1,271.1	1,270.9	1,270.7	1,271.5	1,269.8	1,270.5	1,270.6	1,271.0	1,270.7	1,271.5	1,270.4	1,270.9	1,271.0	1,270.7	1,271.1	1,271.2	1,271.5	1,271.5	1,271.9	1,271.8	1,272.0	1,271.8	1,272.2	1,271.7	1,272.0	1,271.7	1,271.6	1,271.7	1,271.8	1,271.2	1,271.1	1,271.3	1,271.4	1,271.5	1,271.4	1,271.0	1,271.1	1,271.1	1,270.8	1,271.3	1,271.3	1,271.5	1,271.5	1,271.5	1,271.5	1,271.5	1,271.5	1,271.6	1,271.3	1,271.5	1,271.5	1,271.7	1,271.7	1,271.7	1,271.8	1,271.9	1,272.1	1,271.9	1,271.7	1,271.8	1,271.7	1,271.8	1,271.9	1,271.9	1,271.9	1,272.1	1,272.1	1,271.9
03/01/2021	Other	FINAL	-81.7	-1.3	-2.1	-6.0	-3.3	-1.6	-0.9	-1.7	-0.6	-3.9	-2.6	-1.6	-2.1	-2.8	-2.7	-1.9	-2.6	-2.2	-1.1	-0.2	-2.7	-1.0	-4.3	-1.6	-2.7	-1.7	0.2	1.0	1.5	0.2	-0.8	0.1	0.6	-0.8	0.5	-1.2	1.3	-2.1	1.5	-0.6	0.2	0.5	0.1	-0.6	-0.8	0.1	-0.6	-0.9	-0.7	-3.1	-1.9	0.4	-0.8	0.6	-3.2	-1.8	-2.3	-2.4	-3.6	-3.0	-1.0	-2.6	-2.8	-1.1	0.0	1.1	-0.1	-0.7	-0.2	-0.2	-0.8	-0.9	-1.0	-0.4	-0.4	-1.0	-0.7	2.9	3.3	4.4	4.8	2.8	1.2	-1.0	0.3	0.2	-0.6	-0.9	-0.6	-0.6	-0.2	-0.3	-0.5	-2.6	-1.9	-1.3	-0.2
03/01/2021	Solar	FINAL	15,753.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	8.7	39.3	71.0	102.0	158.6	205.9	256.4	266.6	320.3	332.1	309.7	336.8	359.4	379.2	394.6	437.7	454.8	457.6	445.3	434.4	466.6	483.6	532.2	510.0	519.2	551.6	520.7	501.9	521.6	537.8	533.1	492.6	453.6	415.9	419.1	405.9	421.2	401.3	358.1	314.4	250.9	164.5	114.2	60.1	13.5	2.3	2.4	2.4	2.4	2.4	2.4	2.4	2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
03/01/2021	Wind	FINAL	271,784.9	3,739.9	3,830.6	3,814.0	3,748.4	3,774.6	3,697.4	3,681.5	3,591.6	3,618.9	3,578.8	3,583.5	3,533.0	3,488.0	3,519.8	3,516.8	3,478.3	3,549.0	3,507.9	3,515.1	3,468.7	3,524.3	3,420.4	3,333.8	3,188.1	3,063.7	3,101.5	3,058.3	2,977.4	2,985.1	2,877.2	2,844.7	2,900.9	2,800.5	2,693.6	2,701.8	2,726.5	2,649.1	2,584.1	2,417.7	2,390.1	2,342.6	2,273.7	2,271.8	2,386.6	2,507.9	2,495.6	2,555.1	2,634.3	2,683.8	2,744.9	2,803.4	2,844.0	2,879.7	2,846.7	2,845.9	2,860.0	2,940.3	2,961.1	2,980.8	2,995.4	3,048.7	3,099.4	3,131.7	3,128.4	3,133.9	3,137.3	3,088.8	3,158.2	3,168.7	3,098.4	3,023.0	2,911.7	2,814.0	2,704.8	2,590.3	2,451.7	2,354.5	2,274.0	2,207.6	2,109.9	2,036.5	2,005.8	1,979.9	1,924.8	1,933.1	1,950.9	1,926.8	1,856.7	1,823.2	1,799.7	1,794.7	1,884.9	1,934.9	1,971.2	2,002.9	1,995.7
03/02/2021	Biomass	FINAL	699.2	7.7	7.6	7.6	7.6	7.7	7.7	7.7	7.7	7.7	7.7	7.7	7.7	7.7	7.6	7.6	7.6	7.6	7.7	7.7	7.7	7.6	7.6	7.6	7.6	7.6	7.6	7.4	7.3	7.3	7.3	7.5	7.7	7.6	7.6	7.6	7.7	6.7	6.7	6.7	6.4	6.3	6.3	6.3	5.7	5.5	5.5	6.2	6.3	6.2	6.4	6.5	6.5	6.6	6.6	6.6	6.6	6.6	6.6	6.2	6.3	6.4	6.4	6.8	6.8	6.8	6.9	6.8	6.6	6.4	6.5	6.5	6.8	6.8	6.9	7.3	8.1	8.2	8.2	8.2	8.3	8.3	8.3	8.3	8.3	8.3	8.3	8.3	8.3	8.3	8.3	8.3	8.3	8.3	7.9	7.9	7.9
