Date	Fuel	Settlement Type	Total	0:15	0:30	0:45	1:00	1:15	1:30	1:45	2:00	2:15	2:30	2:45	3:00	3:15	3:30	3:45	4:00	4:15	4:30	4:45	5:00	5:15	5:30	5:45	6:00	6:15	6:30	6:45	7:00	7:15	7:30	7:45	8:00	8:15	8:30	8:45	9:00	9:15	9:30	9:45	10:00	10:15	10:30	10:45	11:00	11:15	11:30	11:45	12:00	12:15	12:30	12:45	13:00	13:15	13:30	13:45	14:00	14:15	14:30	14:45	15:00	15:15	15:30	15:45	16:00	16:15	16:30	16:45	17:00	17:15	17:30	17:45	18:00	18:15	18:30	18:45	19:00	19:15	19:30	19:45	20:00	20:15	20:30	20:45	21:00	21:15	21:30	21:45	22:00	22:15	22:30	22:45	23:00	23:15	23:30	23:45	0:00	01:15 (DST)	01:30 (DST)	01:45 (DST)	02:00 (DST)
11/01/2019	Biomass	FINAL	867.5	10.1	10.2	10.1	10.1	10.1	10.1	9.7	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.1	9.1	9.1	9.1	9.1	9.1	9.1	9.1	9.1	9.1	9.1	9.1	9.1	9.1	9.2	9.3	9.2	8.7	8.6	8.6	8.8	9.0	9.0	8.5	7.8	7.8	7.7	7.5	7.5	7.4	7.5	7.8	8.6	9.0	9.0	8.9	8.9	8.9	8.4	8.3	8.0	7.3	7.9	9.1	9.0	9.0	8.1	8.2	9.0	9.3	9.3	9.4	9.4	9.4	9.4	9.4	9.2	9.1	9.1	9.0	9.0	9.3	9.4	9.4	9.3	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4				
11/01/2019	Coal	FINAL	181,408.1	1,761.2	1,760.5	1,740.2	1,692.2	1,668.2	1,665.9	1,639.8	1,612.0	1,600.4	1,614.7	1,617.3	1,609.0	1,600.4	1,609.4	1,639.0	1,636.5	1,666.4	1,695.1	1,716.0	1,725.6	1,770.0	1,790.9	1,833.5	1,878.4	1,935.6	2,097.4	2,185.9	2,304.2	2,450.5	2,492.5	2,431.3	2,373.7	2,327.2	2,270.5	2,237.5	2,158.0	2,093.0	2,046.5	1,997.0	1,977.5	1,991.3	1,989.0	1,970.3	1,948.8	1,893.0	1,847.3	1,781.1	1,730.1	1,676.1	1,643.3	1,613.9	1,591.2	1,572.5	1,538.6	1,558.0	1,603.0	1,650.4	1,693.5	1,717.7	1,732.7	1,763.4	1,854.6	1,880.1	1,932.4	1,982.5	2,021.8	2,049.5	2,047.8	2,046.4	2,111.1	2,165.6	2,201.1	2,207.8	2,227.7	2,244.0	2,257.4	2,253.7	2,174.2	2,120.6	2,041.5	1,984.4	1,958.3	1,876.3	1,804.3	1,722.6	1,711.3	1,703.1	1,696.7	1,729.0	1,817.1	1,866.5	1,863.2	1,846.8	1,832.9	1,881.1	1,868.7				
11/01/2019	Gas	FINAL	44,436.1	229.0	230.7	225.7	229.1	229.8	239.6	247.2	254.8	256.5	257.4	257.3	255.7	247.8	246.0	247.6	247.2	249.7	252.7	255.8	285.1	350.4	419.5	477.3	548.7	650.4	711.0	736.9	751.2	756.7	748.7	735.3	736.4	723.0	732.9	703.9	690.7	698.7	686.9	691.5	695.2	692.7	662.7	691.9	663.5	656.9	644.4	640.6	641.6	626.0	625.7	628.1	626.1	577.7	565.7	575.3	558.8	514.7	484.6	467.1	468.2	469.7	468.5	466.7	467.2	470.4	473.8	468.8	468.0	478.6	476.3	471.0	475.9	478.9	483.4	472.6	476.6	469.9	473.0	482.1	469.1	456.2	429.2	399.9	398.8	365.2	296.7	239.2	238.2	240.5	244.2	244.2	244.2	242.8	247.3	244.2	242.4				
11/01/2019	Gas-CC	FINAL	377,701.3	4,048.4	3,884.7	3,780.0	3,711.0	3,667.7	3,619.0	3,564.5	3,528.7	3,519.0	3,492.5	3,514.4	3,528.5	3,575.7	3,582.3	3,593.6	3,616.4	3,711.2	3,764.5	3,828.4	3,896.8	4,060.6	4,095.6	4,166.0	4,260.4	4,397.8	4,445.3	4,525.8	4,587.8	4,704.9	4,706.7	4,641.9	4,597.6	4,584.6	4,597.4	4,548.9	4,518.4	4,562.9	4,610.0	4,616.8	4,613.7	4,599.4	4,528.2	4,468.6	4,369.1	4,248.3	4,151.9	4,054.6	4,017.4	3,993.0	3,969.2	3,959.3	3,961.5	3,924.6	3,889.1	3,918.8	3,932.6	3,976.6	4,012.7	4,020.2	4,053.9	4,058.0	4,040.6	4,029.9	4,038.6	4,022.0	4,037.8	4,021.6	4,000.0	4,040.6	4,079.0	4,071.2	4,059.6	4,049.6	4,086.9	4,094.1	4,082.0	4,045.2	3,999.7	4,007.8	3,939.1	3,817.0	3,739.2	3,623.7	3,528.2	3,431.0	3,401.7	3,387.7	3,322.4	3,191.4	3,008.5	2,908.0	2,897.1	2,875.8	2,853.5	2,831.7	2,761.3				
11/01/2019	Hydro	FINAL	562.3	2.2	2.2	2.2	2.2	3.6	3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.8	3.8	3.8	3.8	3.8	3.8	3.8	7.5	14.1	14.0	14.1	14.1	14.0	13.9	13.9	13.2	4.2	3.7	3.6	3.6	3.6	3.6	3.6	3.6	12.0	12.0	12.0	11.2	3.6	3.5	3.5	3.5	3.5	3.5	3.5	3.2	1.9	2.0	2.0	2.0	1.9	1.9	1.9	2.2	8.4	8.8	8.7	8.7	8.6	8.7	8.8	8.8	8.8	8.8	8.8	8.8	8.8	8.9	8.8	8.8	9.2	9.3	9.3	9.2	9.2	9.1	9.1	9.1	2.9	2.4	2.4	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5				
11/01/2019	Nuclear	FINAL	88,714.3	923.8	924.2	924.2	924.4	924.5	924.6	924.3	924.5	924.6	924.4	923.6	923.7	923.8	923.8	924.0	924.0	923.7	923.9	924.1	924.2	924.2	924.0	924.3	924.4	924.2	923.7	923.7	924.0	923.9	924.2	924.3	923.8	923.5	923.4	923.1	923.2	923.4	923.3	923.3	923.5	923.5	923.4	923.5	923.6	923.8	923.7	923.7	923.6	923.2	923.4	923.4	923.6	923.4	924.0	923.9	923.7	923.5	923.6	924.1	924.3	924.3	924.0	924.3	924.4	924.4	924.6	924.7	924.4	924.5	923.9	924.6	924.4	924.6	924.7	924.5	924.8	924.5	924.6	924.3	924.3	924.5	924.5	924.8	924.6	924.7	924.6	924.3	924.1	924.6	924.8	924.7	924.6	924.8	925.3	925.0	924.9				
11/01/2019	Other	FINAL	-34.8	-1.0	-0.4	0.0	0.3	-0.1	-0.2	-0.6	-0.5	-1.0	0.0	-0.7	0.1	0.0	0.1	-0.5	-0.3	0.3	-0.9	0.0	-0.1	-0.7	-0.4	-0.2	0.2	0.0	-0.9	-0.1	1.9	-0.6	-2.0	0.6	0.7	-2.0	-0.5	-0.5	-1.1	-0.1	-0.7	-0.5	0.4	-0.8	0.2	-0.8	-0.7	0.5	-1.0	-0.2	-0.3	-0.5	0.0	0.0	0.3	-0.8	0.2	-0.4	-0.4	-0.4	-0.1	0.0	-1.1	2.3	-2.4	0.9	-1.6	-0.7	0.2	-0.3	-0.4	-1.2	-0.8	-0.2	-0.6	0.1	-0.5	-1.5	-1.1	-0.9	-0.8	-0.9	-1.0	-0.4	-0.7	-0.5	-0.7	-0.1	-0.2	-0.2	0.2	1.7	-2.1	-0.9	0.4	-1.5	2.4	-2.6	0.0				
11/01/2019	Solar	FINAL	14,553.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	4.6	24.6	72.6	139.0	214.6	299.1	378.4	402.8	415.8	423.0	422.3	420.9	419.5	413.6	399.2	395.9	403.9	410.4	412.5	413.6	410.2	412.4	412.1	411.1	411.6	412.8	414.8	417.0	417.9	419.9	415.5	417.5	416.5	414.3	403.2	386.4	373.3	336.3	289.5	225.1	147.0	75.0	23.8	3.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0				
11/01/2019	Wind	FINAL	268,266.9	2,906.4	3,013.3	3,131.9	3,212.4	3,314.3	3,386.5	3,435.0	3,498.1	3,549.0	3,569.6	3,581.8	3,603.6	3,605.1	3,630.3	3,647.9	3,678.1	3,652.3	3,642.3	3,652.2	3,634.7	3,584.2	3,626.1	3,664.7	3,688.8	3,718.2	3,733.7	3,743.0	3,743.7	3,732.1	3,749.7	3,763.5	3,750.6	3,730.3	3,683.4	3,629.4	3,551.5	3,407.8	3,189.8	3,009.7	2,864.0	2,748.5	2,695.5	2,624.6	2,621.5	2,665.3	2,673.4	2,747.4	2,716.1	2,646.1	2,594.5	2,517.4	2,444.5	2,403.2	2,393.1	2,279.1	2,139.8	2,026.5	1,919.6	1,808.5	1,702.9	1,568.8	1,450.6	1,381.6	1,320.2	1,244.7	1,195.2	1,221.0	1,229.7	1,191.4	1,145.2	1,146.0	1,238.2	1,321.8	1,410.6	1,570.4	1,731.6	1,882.0	2,024.7	2,147.6	2,298.2	2,461.5	2,600.0	2,819.4	2,996.9	3,142.0	3,221.5	3,254.6	3,267.1	3,279.4	3,319.8	3,294.3	3,223.2	3,163.4	3,110.6	3,056.3	3,060.8				
11/02/2019	Biomass	FINAL	878.9	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.2	9.1	9.1	9.1	9.1	9.1	9.3	9.3	9.3	9.3	9.3	9.3	9.1	8.9	8.8	8.8	9.1	9.1	9.1	9.1	9.0	9.0	9.0	9.0	9.0	8.7	8.7	8.7	8.7	8.7	8.7	8.7	8.7	8.7	8.8	8.9	8.9	8.9	9.0	8.9	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	8.7	8.7	8.8	8.7				
11/02/2019	Coal	FINAL	212,828.2	1,783.5	1,729.7	1,692.8	1,665.5	1,638.1	1,592.2	1,558.3	1,557.4	1,557.8	1,577.0	1,623.0	1,643.9	1,644.7	1,653.6	1,662.9	1,642.3	1,610.1	1,643.0	1,675.0	1,686.7	1,741.3	1,748.5	1,752.8	1,777.3	1,876.9	1,907.7	2,012.7	2,118.3	2,204.6	2,300.6	2,400.2	2,471.3	2,581.4	2,667.6	2,691.0	2,709.8	2,728.7	2,746.0	2,725.5	2,698.8	2,657.8	2,606.8	2,534.5	2,463.2	2,433.7	2,425.8	2,430.0	2,432.4	2,435.3	2,474.1	2,476.7	2,451.3	2,449.9	2,440.8	2,489.4	2,444.0	2,420.4	2,409.6	2,390.5	2,358.1	2,297.7	2,248.2	2,291.0	2,252.3	2,255.8	2,260.6	2,210.8	2,214.5	2,221.0	2,277.5	2,332.5	2,400.8	2,459.9	2,526.3	2,609.8	2,699.7	2,694.9	2,683.9	2,622.1	2,576.4	2,522.0	2,499.2	2,422.3	2,357.9	2,359.6	2,372.1	2,354.8	2,333.7	2,312.8	2,311.8	2,281.1	2,231.9	2,184.4	2,167.5	2,087.5	1,970.7				
11/02/2019	Gas	FINAL	45,645.5	247.6	244.5	243.9	244.1	242.3	244.6	244.3	244.9	244.9	246.0	245.2	245.0	245.7	245.2	245.5	245.2	245.3	244.8	245.2	255.1	287.6	337.4	372.5	430.7	520.9	524.5	534.3	538.9	574.1	588.2	613.1	618.6	624.1	628.5	623.1	631.4	648.2	669.6	675.1	653.6	641.7	633.9	629.2	634.6	632.1	621.5	575.6	578.1	575.8	559.9	557.5	563.0	566.1	578.1	578.0	576.9	571.7	572.0	575.2	581.3	584.5	559.2	522.1	543.3	541.9	557.3	575.9	579.5	579.7	583.4	583.0	587.8	590.9	601.0	594.7	599.3	587.9	589.5	577.6	567.1	552.8	563.3	576.9	577.1	564.9	536.8	478.1	459.7	401.9	350.4	284.9	262.6	202.5	186.3	168.2	167.8				
